Blog	close	ever	blog	without	list	part	nbsp	want	things	got	job	or	lot	words	before	only	has	original	face	i	including	couple	well	asked	was	name	take	book	week	each	top	around	be	u	special	any	off	stuff	content	times	else	deal	so	june	problem	point	ways	amazon	would	example	number	page	can	place	clear	looks	end	car	friends	started	if	create	use	does	gets	real	help	free	idea	may	social	her	told	ve	great	side	action	bad	while	going	available	much	than	were	show	sure	could	year	four	live	saying	probably	most	water	long	another	media	check	maybe	back	p	almost	kind	during	said	latest	possible	look	they	who	youtube	security	turn	over	building	big	when	least	but	google	took	case	go	behind	even	way	thing	used	other	been	keep	summer	month	two	especially	down	here	make	think	good	really	support	email	music	piece	night	put	system	ideas	its	gave	ceo	process	something	change	thought	anything	hours	just	buy	where	six	next	say	means	person	then	c	went	line	service	seen	should	my	last	later	across	him	by	design	find	business	being	once	reason	director	read	videos	thousands	health	enough	co	play	view	money	had	pretty	everyone	days	always	fact	since	internet	them	b	re	office	interesting	too	open	into	company	about	event	more	less	will	their	m	left	web	family	seems	light	government	our	three	thursday	best	set	site	state	own	morning	don	doesn	needs	website	president	isn	me	work	better	voice	post	made	takes	today	under	movie	new	feel	few	account	come	because	right	major	different	looking	community	everything	same	trump	she	how	we	self	some	one	actually	far	tell	comes	local	not	driving	man	stories	care	game	us	store	whether	know	issue	project	twitter	both	american	doing	all	entire	data	recently	world	photo	goes	first	donald	talk	many	might	people	features	app	facebook	easy	no	out	full	story	there	also	according	together	between	through	try	which	ago	half	having	why	very	recent	based	small	appeared	called	shows	bit	nothing	away	run	old	following	making	team	found	makes	every	someone	public	such	are	though	love	up	getting	working	get	start	power	like	your	market	com	future	wrote	ll	d	those	his	trying	video	won	never	writing	version	finally	using	he	reading	tv	do	years	months	did	believe	these	ask	air	second	home	already	says	group	see	pay	after	white	giving	past	house	hard	against	let	question	million	yet	watch	news	often	came	didn	running	become	important	have	tech	am	sense	an	life	little	again	now	what	day	e	until	stop	call	high	technology	need	give	still	john	time
Lifehacker	1	2	0	2	1	0	0	3	3	2	0	9	2	0	0	4	2	0	1	6	0	0	2	2	0	0	0	0	3	0	1	1	8	0	0	0	3	0	0	0	2	0	3	0	1	0	0	3	1	1	0	1	7	2	0	0	1	0	0	0	7	0	1	0	0	1	3	1	0	1	3	2	0	3	3	0	0	0	5	0	0	2	7	1	0	0	0	1	0	0	0	2	2	2	0	0	4	1	1	4	0	2	0	0	0	1	0	5	12	2	0	0	0	4	0	1	3	0	13	0	0	2	0	0	1	2	3	1	1	0	0	1	1	0	0	1	4	5	4	1	1	0	2	4	0	2	0	0	0	0	0	0	0	2	1	0	0	1	2	0	2	0	1	0	0	3	2	2	0	1	0	0	1	1	2	1	1	0	5	1	0	0	0	0	0	0	28	0	0	1	1	0	0	0	3	2	0	3	2	1	0	0	0	4	0	7	0	0	1	1	0	0	6	0	34	2	2	5	3	0	1	1	1	0	0	1	1	1	3	2	2	0	0	0	1	2	0	0	0	2	3	0	2	0	0	0	0	7	1	0	5	1	1	0	1	2	1	1	1	0	0	0	0	1	0	8	1	1	5	1	3	0	0	1	0	3	0	0	0	1	1	1	0	1	3	0	0	0	1	1	2	3	0	2	0	1	0	2	0	2	0	1	1	6	1	1	1	0	4	6	1	0	4	6	0	0	0	1	1	4	0	0	0	1	0	1	0	0	0	3	0	0	2	1	0	1	0	1	0	0	0	0	2	0	0	12	1	2	3	1	1	4	0	2	8	16	0	0	1	0	1	4	2	1	0	4	0	1	0	1	0	4	0	1	1	1	1	0	1	0	3	0	1	0	0	0	0	1	0	0	3	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	4	2	1	0	2	5	0	0	1	2	1	0	1	4	2	0	0	4
PerezHilton	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	1	1	2	4	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	3	0	0	0	4	2	0	0	0	0	0	1	0	0	0	1	3	2	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	3	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	2	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	3	1	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	1	2	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	2	7	0	4	0	2	3	0	0	1	0	0	4	0	0	0	2	1	1	0	0	0	0	0	3	1	0	0	3	0	0	0	0	2	0	1	2	0	1	0	1	0	0	1	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	3	3	0	0	0	0	4	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	11	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	3	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	3
WIL WHEATON dot NET	4	7	2	4	0	5	6	7	16	3	2	26	10	1	14	3	16	0	1	423	2	0	4	5	22	1	17	5	4	5	0	16	36	0	1	14	8	2	1	4	7	0	48	0	1	4	1	0	2	0	1	3	53	3	4	4	3	5	2	3	25	0	1	6	4	5	10	2	1	3	1	105	1	33	4	4	0	3	12	28	0	14	15	14	3	2	4	2	4	1	0	3	9	3	9	15	1	2	20	24	1	6	5	3	4	0	1	9	42	22	0	0	2	11	2	3	30	4	63	0	2	0	17	3	6	10	8	1	16	21	11	0	2	11	0	17	4	10	11	6	5	0	1	1	0	3	2	0	0	2	3	0	3	20	0	2	12	22	23	0	10	3	11	8	0	4	9	0	3	1	0	6	6	75	11	5	1	2	8	3	6	3	3	2	5	0	9	0	1	1	2	1	5	0	0	14	1	4	11	1	1	6	1	19	0	17	0	0	12	4	29	0	33	2	29	2	20	5	47	1	0	1	3	3	0	29	7	0	8	2	0	0	5	4	24	19	0	0	0	10	44	6	2	3	1	2	7	3	3	0	5	15	2	1	6	36	6	1	9	2	0	6	7	0	122	15	80	0	22	22	2	1	13	16	0	25	1	4	2	2	4	18	0	2	39	0	0	1	8	1	7	24	1	0	0	4	0	2	7	0	2	4	0	13	0	0	3	2	9	32	0	4	35	5	0	8	3	8	18	6	5	2	2	5	8	2	0	3	0	3	3	9	4	2	1	0	0	5	1	0	3	4	8	0	0	41	3	5	39	5	6	39	3	0	26	6	0	1	1	2	12	5	1	6	4	0	5	3	1	2	4	0	15	1	4	32	3	1	7	1	5	6	0	1	12	2	9	0	10	6	5	2	1	1	7	3	2	2	0	0	0	6	0	0	4	11	1	0	3	43	0	15	2	23	14	14	4	9	22	8	0	10	2	2	2	0	8	10	3	2	23
Google Operating System	0	0	2	0	7	0	11	3	1	0	0	27	1	0	0	10	16	1	0	13	4	0	2	0	6	2	1	0	0	4	1	2	16	0	3	3	2	0	2	0	0	0	6	1	0	3	1	0	0	7	0	10	23	3	2	3	1	0	0	2	11	0	7	0	1	1	1	1	0	1	0	0	0	5	1	0	0	0	5	1	3	2	5	0	2	1	0	2	0	2	0	1	3	1	5	4	0	1	0	4	0	0	0	0	0	2	0	3	6	1	13	2	5	1	0	0	15	0	7	108	0	0	7	0	4	1	0	0	9	2	1	0	1	0	0	5	7	2	0	0	1	2	1	0	0	2	0	5	0	3	0	0	0	2	3	0	0	0	4	0	1	0	5	0	1	0	3	1	0	1	0	0	1	3	1	1	0	0	10	1	1	0	0	0	1	0	1	5	0	0	0	0	4	1	0	2	2	2	0	1	1	2	1	3	4	3	0	3	0	4	3	0	10	0	14	0	13	3	3	2	3	0	1	2	0	2	0	0	1	1	4	0	2	0	3	2	1	0	0	0	1	0	1	1	1	0	0	1	0	2	24	1	1	4	0	2	1	0	9	0	1	0	3	0	0	0	8	0	6	8	1	0	0	1	2	7	1	2	0	1	2	0	3	2	4	0	0	0	2	0	0	3	1	1	2	2	2	0	5	0	0	4	0	2	4	9	0	1	6	7	2	0	7	9	2	0	4	0	3	12	0	0	0	1	2	1	1	0	0	4	18	0	0	0	0	4	0	0	1	4	2	1	0	1	1	11	1	0	5	0	0	15	1	1	17	20	0	2	0	0	7	1	3	0	0	3	1	2	0	3	0	5	0	0	2	1	0	0	3	0	3	1	0	0	6	1	0	0	4	0	2	0	0	0	0	0	1	1	3	0	0	0	1	1	1	0	1	2	2	3	0	0	0	13	2	1	2	16	4	3	0	0	1	0	4	1	2	0	5	0	1
The Full Feed from HuffingtonPost.com	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	6	0	1	0	0	0	0	1	0	2	0	2	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	7	0	1	4	1	0	0	0	0	3	0	0	0	0	0	0	3	2	0	0	0	1	1	0	1	2	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	1	0	1	3	0	1	0	0	2	1	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	24	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	2	1	2	0	2	0	0	0	1	0	2	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	3	0	0	0	0	1	0	5	1	5	0	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	0	3	0	0	0	0	0	2	0	0	2	0	2	0	6	0	0	0	1	0	0	1	1	4	0	0	1	0	0	0	0	0	0	0	1	1
ongoing by Tim Bray	0	0	1	0	0	1	0	0	0	4	1	4	0	1	0	0	1	0	1	48	0	0	1	0	12	0	1	1	1	0	1	1	10	1	0	1	0	3	0	0	0	0	10	0	0	1	0	0	0	0	0	1	4	1	0	0	2	0	0	0	1	0	2	0	0	0	1	0	1	0	0	1	0	6	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	2	2	0	0	1	3	0	0	3	1	11	0	1	0	3	0	0	2	2	1	0	4	0	0	0	4	0	2	4	3	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	0	1	0	0	0	0	1	2	0	0	2	10	1	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	2	0	12	0	0	3	0	0	0	5	0	2	0	0	1	6	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	2	3	0	0	2	0	0	0	0	1	0	0	0	0	1	0	3	1	5	5	0	0	0	0	0	4	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	3	0	0	3	0	2	0	2	0	0	0	0	0	2	2	0	0	6	0	0	0	0	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	0	7	3	0	1	1	1	0	0	3	0	0	0	2	0	0	0	0	0	1	0	1	8	3	0	1	1	2	0	0	0	1	0	0	0	3	1	1	1	0	0	1	0	0	2	0	0	0	0	1	0	1	1	0	0	0	1	4	0	0	8	1	0	1	2	6	4	1	0	0	1	0	0	1	0	4	0	4
Signal v. Noise - Medium	2	4	0	3	0	5	0	37	37	24	20	47	4	4	13	9	16	6	1	256	2	7	21	10	144	1	15	1	4	6	2	14	69	0	0	4	4	4	0	2	10	3	55	0	8	3	5	0	29	6	1	0	39	7	6	4	2	2	5	10	52	10	15	1	2	6	17	7	7	3	3	8	5	26	7	3	2	3	5	16	0	21	13	18	19	6	25	5	4	2	0	7	12	1	10	8	4	4	4	12	3	3	3	5	27	0	3	11	102	29	3	0	3	19	8	5	36	3	61	1	5	2	10	3	9	10	16	4	16	15	8	4	1	16	2	6	20	11	10	8	13	5	14	1	3	1	8	20	9	3	4	11	4	19	6	6	5	8	37	4	23	3	16	14	3	7	17	1	12	0	0	1	16	34	7	4	0	13	42	4	11	25	6	10	2	2	3	0	2	0	14	0	3	25	3	58	2	9	1	1	3	6	0	33	3	46	5	3	13	2	23	35	49	2	54	1	13	56	17	2	2	0	3	3	0	42	11	1	19	8	0	0	16	1	41	5	4	0	2	11	29	19	17	0	3	10	1	6	3	0	24	17	8	1	9	27	17	2	11	4	0	7	14	0	4	57	111	3	17	41	9	2	4	5	1	36	1	2	2	4	1	20	2	4	49	0	8	1	4	0	20	33	4	4	4	5	0	2	26	0	4	8	10	71	6	4	0	12	30	59	2	17	35	7	0	4	1	11	14	10	1	0	5	7	6	2	1	7	0	7	10	4	2	5	8	4	1	4	39	10	6	11	10	1	5	45	5	2	34	6	8	39	14	2	44	87	6	8	3	7	17	31	12	30	8	1	6	7	4	2	7	4	86	0	0	71	20	9	11	4	24	11	2	3	1	3	2	5	11	2	6	1	4	4	0	10	1	10	14	2	1	0	0	1	8	11	8	6	3	57	4	3	4	51	10	14	6	10	74	18	8	0	1	6	4	2	16	14	8	6	29
ProBlogger	0	3	28	1	6	0	0	6	2	1	0	2	4	0	1	0	3	0	0	11	0	0	1	2	0	0	6	0	1	0	3	5	4	0	0	0	0	0	9	0	0	0	1	0	0	1	4	3	0	0	0	4	4	0	0	0	1	0	0	0	4	1	6	0	0	0	4	1	0	1	9	4	0	6	3	0	0	0	1	1	0	1	1	1	2	0	1	5	0	0	0	1	2	0	1	1	5	0	0	3	0	0	0	1	0	0	0	4	4	1	0	0	0	1	4	0	4	0	7	0	0	0	0	0	2	1	0	1	1	5	4	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	0	5	2	0	8	1	0	0	0	2	4	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	4	0	6	0	0	1	0	5	0	8	1	25	0	4	2	2	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	6	0	1	2	0	0	0	3	3	0	27	0	0	6	2	0	1	3	2	0	0	2	1	0	1	2	0	1	0	0	5	23	10	0	2	6	0	1	0	1	0	0	0	0	2	0	0	2	0	2	4	0	0	0	1	0	0	4	0	0	1	0	0	0	28	0	3	3	1	4	0	0	4	0	0	1	1	0	2	3	0	0	3	2	2	2	0	0	0	0	3	0	0	0	20	0	0	0	1	1	0	1	1	2	1	0	0	0	1	0	0	4	0	0	1	0	3	5	1	0	8	31	0	0	0	0	4	0	0	0	1	0	0	0	3	0	0	5	0	0	0	6	0	1	1	0	5	2	0	0	5	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	2	1	7	0	0	0	9	1	3	0	0	4	0	1	1	0	0	0	0	1	0	1	0	2
Daily Kos	5	9	0	5	3	10	0	10	10	4	6	58	6	2	15	27	40	0	5	38	11	3	14	4	78	3	18	9	12	4	6	8	78	8	3	20	17	1	6	10	6	7	33	16	4	4	3	0	61	2	3	1	42	3	7	2	2	2	2	3	37	4	0	11	6	6	13	4	7	8	2	18	18	5	6	2	11	15	11	14	2	22	36	29	6	5	24	22	4	4	10	3	11	0	9	8	1	2	10	18	2	2	2	8	38	2	2	4	73	55	6	7	2	28	5	15	31	15	86	0	7	3	9	9	26	15	9	2	20	24	12	2	6	13	5	7	35	10	8	15	12	5	1	1	3	5	8	4	2	10	4	5	9	9	5	3	6	0	34	2	18	2	13	12	9	6	13	1	8	3	3	6	8	9	16	3	5	18	73	0	9	2	19	8	1	7	1	0	3	45	9	6	2	2	9	24	2	5	6	2	8	8	2	24	1	19	15	0	4	6	19	9	51	8	42	8	48	49	3	2	0	9	4	0	12	24	12	11	5	1	1	29	9	18	20	9	1	1	18	11	6	9	3	4	4	6	2	9	12	0	23	0	5	2	8	24	9	4	3	2	6	5	11	108	30	25	51	2	19	38	10	7	5	8	6	75	0	2	3	37	2	14	0	10	19	3	3	8	10	9	8	31	1	3	2	2	0	2	20	31	0	16	10	57	0	0	2	0	31	43	3	5	26	13	8	4	10	5	3	28	3	10	5	9	9	0	6	1	0	5	1	3	10	10	2	8	3	6	9	4	4	10	9	18	7	87	8	1	23	4	7	28	3	7	24	21	5	4	3	8	8	10	26	92	6	1	18	9	0	11	1	1	96	2	0	30	22	6	20	5	9	4	4	2	2	10	4	8	8	9	23	21	4	4	61	7	15	7	11	5	3	2	10	6	2	14	4	3	3	64	0	4	4	41	4	4	8	21	46	13	0	7	6	3	13	6	11	4	19	2	19
Derek Powazek	1	1	1	0	0	2	0	1	1	1	1	5	1	0	1	1	5	0	1	69	0	4	2	0	13	0	1	6	3	1	2	1	7	0	2	0	1	1	1	1	1	1	7	0	0	0	1	0	0	0	1	1	8	0	1	0	0	1	2	2	9	2	0	0	2	0	0	0	0	0	0	9	0	11	5	0	0	3	1	4	1	1	2	2	3	1	1	4	0	2	0	1	2	0	1	3	2	0	1	2	1	1	1	0	3	0	1	0	6	1	1	0	0	5	0	1	11	0	14	0	3	0	4	0	1	0	4	1	3	8	0	1	0	9	2	2	6	1	4	1	2	0	0	0	0	2	1	0	0	1	2	0	1	8	1	1	1	0	11	1	0	2	1	3	0	0	7	0	3	0	0	1	1	22	7	1	0	2	5	1	1	1	0	2	0	0	0	0	0	0	5	0	0	0	3	3	0	1	4	4	0	1	1	2	0	7	0	0	2	1	4	1	9	0	6	1	5	4	12	1	1	1	0	0	0	3	4	0	1	0	2	0	2	2	4	0	0	0	0	0	15	3	0	0	3	2	0	2	1	0	5	5	5	0	3	3	4	0	0	1	3	2	3	0	7	7	7	1	3	13	0	0	0	1	0	6	0	1	1	0	0	4	0	0	6	8	0	1	2	0	1	10	0	0	0	3	0	2	3	0	3	1	1	2	1	0	0	2	2	9	1	3	7	2	0	1	4	1	1	2	2	0	0	1	1	0	0	2	0	0	0	0	0	1	0	2	1	0	0	1	0	3	0	0	0	11	0	1	11	2	0	6	0	0	9	6	0	1	0	1	4	2	1	3	0	0	0	3	2	0	0	1	5	4	0	7	5	2	4	0	2	1	0	0	0	1	0	0	3	0	4	1	0	0	0	3	1	1	0	0	1	1	1	2	1	1	0	0	0	3	1	3	0	5	5	7	2	10	9	2	0	0	0	1	1	0	1	0	4	0	4
Joel on Software	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	1	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	2	0	0	0	0	0	2	3	0	13	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	1	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	3	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	2
BuzzMachine	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	1	0	0	0	18	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	2	0	2	0	0	0	0	0	4	0	0	0	1	0	2	0	0	0	0	0	0	3	3	0	0	0	1	2	0	2	0	2	0	1	2	0	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	4	1	0	0	1	0	0	0	0	3	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	3	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	3	0	0	0	0	1	0	1	0	5	0	1	0	4	0	2	1	0	0	0	0	1	8	0	0	0	0	0	0	0	1	0	0	3	0	1	3	3	0	3	0	16	0	0	0	1	1	4	0	1	0	0	1	3	0	0	2	2	0	0	11	3	2	10	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	2	0	2	0	0	0	0	1	0	17	5	0	2	1	1	0	0	11	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	15	1	0	0	1	0	0	0	0	1	0	0	0	0	2	2	2	5	0	0	2	0	1	0	1	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	5	0	1	4	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	18	0	0	2	1	0	0	2	0	3	0	6	0	0	2	4	7	1	0	0	2	2	0	0	0	0	2	1	0
Wired	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	0	3	0	0	0	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	1	0	0	3	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	2	0	1	0	1	0	0	2	0	0	3	0	0	1	0	0	0	1	1	0	0	0	4	1	1	0	2	1	0	0	0	1	0	2	1	0	1	2	0	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	2	2	3	0	0	0	0	1	0	0	2	1	0	3	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	1	0	2	2	0	0	0	1	0	1	0	1	0	1	0	1	2	0	5	0	1	1	3	0	0	0	1	1	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	1	0	0	3	1	2	0	0	3	2	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	8	0	1	3	0	1	2	0	1	0	2	1	0	1	0	1	0	0	0	0	1	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	1	0	2	0	1	0	0	0	0	3	3	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0
Eschaton	0	0	0	2	0	3	3	4	7	2	1	5	2	0	1	2	6	0	0	23	1	1	1	1	12	0	3	1	0	1	0	1	10	0	1	3	3	2	0	0	2	0	4	2	0	0	0	0	5	2	0	0	9	1	0	0	1	3	0	1	8	0	0	2	0	0	2	3	2	1	0	4	2	0	1	1	0	2	3	3	0	4	5	2	1	4	5	2	0	0	2	3	1	0	2	1	3	0	9	3	0	2	1	1	2	0	1	0	19	10	0	0	0	2	0	2	7	0	27	0	0	2	2	0	4	0	5	0	4	6	1	0	0	3	2	2	1	2	4	1	2	0	1	0	0	3	0	1	0	4	0	0	0	4	1	1	1	3	4	2	1	0	1	2	0	0	4	0	2	2	0	0	2	3	1	2	0	0	14	0	1	1	5	5	3	1	2	0	1	2	3	1	2	0	1	1	0	3	1	1	0	1	0	6	1	3	0	0	1	0	0	1	10	0	3	1	7	4	3	0	0	0	0	0	2	2	2	1	4	0	0	1	0	2	8	2	0	0	1	6	5	8	1	0	2	0	0	0	0	0	1	0	1	0	1	5	1	0	0	1	0	3	2	3	0	4	2	1	8	7	2	1	0	0	2	17	2	0	0	2	1	2	0	1	4	1	1	0	2	0	3	10	0	0	0	2	0	1	0	2	2	0	1	18	0	1	0	0	3	5	2	1	9	1	1	0	0	0	0	6	1	0	2	3	0	0	0	1	0	0	0	2	2	1	1	0	1	1	0	0	1	4	0	0	0	14	0	0	4	0	0	6	0	1	3	4	3	0	2	0	3	1	2	2	0	0	0	3	0	0	0	1	6	0	1	4	5	3	4	1	4	0	1	1	0	1	0	0	1	3	3	4	0	1	2	0	0	0	3	0	0	1	4	1	0	4	0	0	3	13	0	1	2	8	0	0	1	2	3	2	1	1	0	0	0	2	3	3	6	0	4
